subject,age,gender,berry,sample,9pt_overall,us_overall,lms_overall
1034246,21-35,female,raspberry,4,6,13,29
1034246,21-35,female,raspberry,2,4,11,65
1034246,21-35,female,raspberry,6,7,6,63
1034246,21-35,female,raspberry,5,6,10,-7
1034400,51-65,female,raspberry,3,9,13,NA
1034400,51-65,female,raspberry,1,6,10,NA
1034400,51-65,female,raspberry,4,7,4,NA
1034400,51-65,female,raspberry,2,8,9,NA
1034400,51-65,female,raspberry,6,3,7,NA
1034400,51-65,female,raspberry,5,5,10,NA
1034524,21-35,female,raspberry,3,6,NA,NA
1034524,21-35,female,raspberry,1,4,NA,NA
1034524,21-35,female,raspberry,4,8,NA,NA
1034524,21-35,female,raspberry,2,4,NA,NA
1034524,21-35,female,raspberry,6,9,NA,NA
1034524,21-35,female,raspberry,5,7,NA,NA
1507311,36-50,male,raspberry,3,8,8,NA
1507311,36-50,male,raspberry,1,5,6,NA
1507311,36-50,male,raspberry,4,6,8,NA
1507311,36-50,male,raspberry,2,7,6,NA
1507311,36-50,male,raspberry,6,9,6,NA
1507311,36-50,male,raspberry,5,7,5,NA
1034428,21-35,female,raspberry,3,6,3,79
1034428,21-35,female,raspberry,1,7,8,21
1034428,21-35,female,raspberry,4,1,9,-26
1034428,21-35,female,raspberry,2,5,7,34
1034428,21-35,female,raspberry,6,3,5,-7
1034428,21-35,female,raspberry,5,4,1,13
1034476,21-35,female,raspberry,3,3,8,2
1034476,21-35,female,raspberry,1,3,7,13
1034476,21-35,female,raspberry,4,9,8,11
1034476,21-35,female,raspberry,2,7,9,-57
1034476,21-35,female,raspberry,6,6,6,13
1034476,21-35,female,raspberry,5,2,8,55
1034500,21-35,male,raspberry,3,4,NA,91
1034500,21-35,male,raspberry,1,7,NA,39
1034500,21-35,male,raspberry,4,6,NA,74
1034500,21-35,male,raspberry,2,7,NA,58
1034500,21-35,male,raspberry,6,3,NA,47
1034500,21-35,male,raspberry,5,5,NA,11
1034514,36-50,male,raspberry,3,5,6,12
1034514,36-50,male,raspberry,1,3,4,21
1034514,36-50,male,raspberry,4,7,9,-10
1034514,36-50,male,raspberry,2,6,7,13
1034514,36-50,male,raspberry,6,6,6,54
1034514,36-50,male,raspberry,5,3,8,-32
1507312,21-35,female,raspberry,3,8,NA,NA
1507312,21-35,female,raspberry,1,6,NA,NA
1507312,21-35,female,raspberry,4,4,NA,NA
1507312,21-35,female,raspberry,2,3,NA,NA
1507312,21-35,female,raspberry,6,6,NA,NA
1507312,21-35,female,raspberry,5,4,NA,NA
1034545,21-35,male,raspberry,3,8,15,77
1034545,21-35,male,raspberry,1,5,9,90
1034545,21-35,male,raspberry,4,2,2,-10
1034545,21-35,male,raspberry,2,9,4,17
1034545,21-35,male,raspberry,6,7,15,25
1034545,21-35,male,raspberry,5,4,13,40
1034554,51-65,female,raspberry,3,9,11,53
1034554,51-65,female,raspberry,1,6,7,10
1034554,51-65,female,raspberry,4,6,2,36
1034554,51-65,female,raspberry,2,7,7,37
1034554,51-65,female,raspberry,6,8,11,57
1034554,51-65,female,raspberry,5,5,9,36
1514615,NA,NA,raspberry,3,3,5,NA
1514615,NA,NA,raspberry,1,2,14,NA
1514615,NA,NA,raspberry,4,5,13,NA
1514615,NA,NA,raspberry,2,7,13,NA
1514615,NA,NA,raspberry,6,6,13,NA
1514615,NA,NA,raspberry,5,5,11,NA
1522576,36-50,female,raspberry,3,7,NA,NA
1522576,36-50,female,raspberry,1,4,NA,NA
1522576,36-50,female,raspberry,4,4,NA,NA
1522576,36-50,female,raspberry,2,4,NA,NA
1522576,36-50,female,raspberry,6,4,NA,NA
1522576,36-50,female,raspberry,5,5,NA,NA
1507318,21-35,female,raspberry,3,4,5,34
1507318,21-35,female,raspberry,1,3,7,36
1507318,21-35,female,raspberry,4,4,5,75
1507318,21-35,female,raspberry,2,5,7,57
1507318,21-35,female,raspberry,6,6,8,55
1507318,21-35,female,raspberry,5,5,6,55
1507781,21-35,female,raspberry,3,9,0,-53
1507781,21-35,female,raspberry,1,2,0,-11
1507781,21-35,female,raspberry,4,1,8,11
1507781,21-35,female,raspberry,2,1,1,98
1507781,21-35,female,raspberry,6,7,15,76
1507781,21-35,female,raspberry,5,6,0,56
1514655,21-35,female,raspberry,3,4,NA,-16
1514655,21-35,female,raspberry,1,2,NA,38
1514655,21-35,female,raspberry,4,7,NA,-86
1514655,21-35,female,raspberry,2,4,NA,77
1514655,21-35,female,raspberry,6,8,NA,-52
1514655,21-35,female,raspberry,5,4,NA,-34
1032536,21-35,female,raspberry,3,6,NA,36
1032536,21-35,female,raspberry,1,4,NA,35
1032536,21-35,female,raspberry,4,6,NA,10
1032536,21-35,female,raspberry,2,6,NA,-33
1032536,21-35,female,raspberry,6,6,NA,54
1032536,21-35,female,raspberry,5,6,NA,72
1033706,51-65,female,raspberry,3,8,6,73
1033706,51-65,female,raspberry,1,7,6,33
1033706,51-65,female,raspberry,4,8,6,58
1033706,51-65,female,raspberry,2,8,15,74
1033706,51-65,female,raspberry,6,8,8,76
1033706,51-65,female,raspberry,5,8,15,57
1032395,36-50,male,raspberry,3,7,9,-54
1032395,36-50,male,raspberry,1,3,6,12
1032395,36-50,male,raspberry,4,8,6,-32
1032395,36-50,male,raspberry,2,6,7,1
1032395,36-50,male,raspberry,6,4,12,55
1032395,36-50,male,raspberry,5,8,8,-8
1033655,51-65,female,raspberry,3,7,NA,57
1033655,51-65,female,raspberry,1,8,NA,76
1033655,51-65,female,raspberry,4,8,NA,73
1033655,51-65,female,raspberry,2,9,NA,76
1033655,51-65,female,raspberry,6,8,NA,75
1033655,51-65,female,raspberry,5,8,NA,74
1501834,36-50,female,raspberry,3,8,NA,0
1501834,36-50,female,raspberry,1,1,NA,1
1501834,36-50,female,raspberry,4,5,NA,1
1501834,36-50,female,raspberry,2,7,NA,-9
1501834,36-50,female,raspberry,6,7,NA,-9
1501834,36-50,female,raspberry,5,6,NA,57
1032887,36-50,male,raspberry,4,2,11,13
1032887,36-50,male,raspberry,1,1,12,-9
1032887,36-50,male,raspberry,6,2,10,13
1032887,36-50,male,raspberry,3,1,9,-54
1032887,36-50,male,raspberry,5,8,9,-31
1032887,36-50,male,raspberry,2,2,9,-10
1032888,36-50,female,raspberry,4,7,11,-76
1032888,36-50,female,raspberry,1,2,6,-55
1032888,36-50,female,raspberry,6,4,14,55
1032888,36-50,female,raspberry,3,8,1,11
1032888,36-50,female,raspberry,5,6,4,-7
1032888,36-50,female,raspberry,2,4,6,-100
1032987,51-65,female,raspberry,4,6,13,36
1032987,51-65,female,raspberry,1,4,14,12
1032987,51-65,female,raspberry,6,8,13,55
1032987,51-65,female,raspberry,3,8,15,36
1032987,51-65,female,raspberry,5,8,12,54
1032987,51-65,female,raspberry,2,8,13,36
1033043,51-65,male,raspberry,4,4,2,-10
1033043,51-65,male,raspberry,1,3,4,58
1033043,51-65,male,raspberry,6,8,8,76
1033043,51-65,male,raspberry,3,5,11,73
1033043,51-65,male,raspberry,5,5,7,12
1033043,51-65,male,raspberry,2,7,7,-34
1033224,51-65,female,raspberry,4,4,7,-43
1033224,51-65,female,raspberry,1,2,14,74
1033224,51-65,female,raspberry,6,4,7,37
1033224,51-65,female,raspberry,3,7,7,38
1033224,51-65,female,raspberry,5,7,8,-9
1033224,51-65,female,raspberry,2,7,4,-9
1033068,21-35,female,raspberry,4,8,10,-29
1033068,21-35,female,raspberry,1,3,8,-31
1033068,21-35,female,raspberry,6,3,9,56
1033068,21-35,female,raspberry,3,6,13,57
1033068,21-35,female,raspberry,5,6,13,11
1033068,21-35,female,raspberry,2,6,13,37
1033090,36-50,female,raspberry,4,6,14,80
1033090,36-50,female,raspberry,1,3,11,61
1033090,36-50,female,raspberry,6,8,13,-35
1033090,36-50,female,raspberry,3,4,3,54
1033090,36-50,female,raspberry,5,5,3,35
1033090,36-50,female,raspberry,2,6,3,-34
1033107,21-35,female,raspberry,4,8,0,-33
1033107,21-35,female,raspberry,1,1,15,74
1033107,21-35,female,raspberry,6,3,8,-9
1033107,21-35,female,raspberry,3,6,4,-31
1033107,21-35,female,raspberry,5,8,12,-10
1033107,21-35,female,raspberry,2,5,12,74
1033110,51-65,male,raspberry,4,8,12,12
1033110,51-65,male,raspberry,1,5,12,38
1033110,51-65,male,raspberry,6,8,13,45
1033110,51-65,male,raspberry,3,8,13,67
1033110,51-65,male,raspberry,5,9,12,37
1033110,51-65,male,raspberry,2,7,13,37
1033141,36-50,male,raspberry,4,7,12,56
1033141,36-50,male,raspberry,1,3,6,17
1033141,36-50,male,raspberry,6,8,13,71
1033141,36-50,male,raspberry,3,7,15,36
1033141,36-50,male,raspberry,5,4,14,1
1033141,36-50,male,raspberry,2,7,13,60
1033168,36-50,male,raspberry,4,2,9,55
1033168,36-50,male,raspberry,1,7,5,-32
1033168,36-50,male,raspberry,6,6,8,36
