subject,age,gender,berry,sample,percent_shopping,lms_appearance,lms_overall,lms_taste,lms_texture,lms_aroma,cata_taste_floral,cata_taste_berry,cata_taste_grassy,cata_taste_fermented,cata_taste_fruity,cata_taste_citrus,cata_taste_earthy,cata_taste_none,cata_taste_peachy,cata_taste_caramel,cata_taste_grapey,cata_taste_melon,cata_taste_cherry
1034381,36-50,female,strawberry,6,75-100%,56,40,39,68,34,0,0,0,0,1,0,1,0,0,0,0,0,0
1034381,36-50,female,strawberry,3,75-100%,18,55,55,61,68,0,1,0,0,1,1,0,0,0,0,0,0,0
1034381,36-50,female,strawberry,5,75-100%,50,82,72,66,60,1,1,0,0,1,0,0,0,0,0,0,0,0
1507311,36-50,male,strawberry,4,50-74%,12,11,-57,0,36,0,0,1,0,0,0,1,0,0,0,0,0,0
1507311,36-50,male,strawberry,1,50-74%,-56,-32,0,-32,-11,0,1,0,0,1,0,0,0,1,0,0,0,1
1507311,36-50,male,strawberry,2,50-74%,54,0,-11,35,-10,1,0,1,0,0,0,0,0,0,0,1,0,0
1507311,36-50,male,strawberry,6,50-74%,-77,12,-1,36,-77,0,1,0,0,1,0,0,0,0,0,0,0,0
1507311,36-50,male,strawberry,3,50-74%,0,57,38,55,10,0,1,0,0,1,0,0,0,0,0,0,1,1
1507311,36-50,male,strawberry,5,50-74%,11,55,56,57,13,1,1,0,0,1,0,0,0,0,0,0,0,0
1034476,21-35,female,strawberry,4,75-100%,54,11,1,57,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1034476,21-35,female,strawberry,1,75-100%,12,74,75,38,11,0,1,0,0,0,0,0,0,1,0,0,0,0
1034476,21-35,female,strawberry,2,75-100%,-9,0,0,-33,36,0,0,1,0,0,0,0,0,0,0,0,0,0
1034476,21-35,female,strawberry,6,75-100%,-56,-33,-55,-33,11,0,0,0,0,0,0,0,0,0,0,0,1,0
1034476,21-35,female,strawberry,3,75-100%,55,12,11,12,-1,0,1,0,0,0,1,0,0,0,0,0,0,0
1034476,21-35,female,strawberry,5,75-100%,74,38,34,74,36,0,1,0,0,0,1,0,0,0,0,0,1,0
1507312,21-35,female,strawberry,4,75-100%,9,35,77,43,-38,0,1,0,0,1,0,0,0,0,0,0,0,0
1507312,21-35,female,strawberry,1,75-100%,-17,51,43,-7,35,0,0,0,0,1,0,0,0,1,0,0,0,0
1507312,21-35,female,strawberry,2,75-100%,-28,-3,-21,22,12,0,1,1,0,0,0,1,0,0,0,0,0,0
